sku,price,sessions,conversions,conversionRate,valuePerSession,currentPosition
TXL024,500000,410,4,0.98,4900,1
TXT158,500000,1319,15,1.14,5700,2
TXT159,500000,1288,17,1.32,6600,4
TXL027,500000,787,16,2.03,10149.999999999998,3
TXT153,500000,297,5,1.68,8400,5
BL063,500000,4344,26,0.6,3000,6
TXL025,500000,3562,14,0.39,1950,7
TT03020,400000,4287,55,1.28,5120,8
BO07010,400000,2277,26,1.14,4559.999999999999,9
BO05008,400000,1863,29,1.56,6240,10
BO09012,400000,4157,75,1.8,7200,11
BO09011,400000,2036,43,2.11,8440,12
BO07011,400000,5111,64,1.25,5000,13
BO09010,400000,1302,25,1.92,7680,14
BO05006,400000,7401,93,1.26,5040,15
BO05007,400000,1558,18,1.16,4639.999999999999,16
TT03011,400000,2352,44,1.87,7480,17
TT03019,400000,5585,59,1.06,4240,18
TXL022,500000,669,7,1.05,5250,19
TXL020,500000,145,1,0.69,3450,20
BL061,500000,2186,8,0.37,1850,21
TXT154,500000,360,3,0.83,4150,22
TXT140,500000,316,5,1.58,7900,23
TXT161,500000,1110,10,0.9,4500,24
TXT162,500000,392,2,0.51,2550,25
TXT142,500000,301,3,1,5000,26
BL064,500000,1265,18,1.42,7100,27
TXT157,500000,371,2,0.54,2700,28
BL065,500000,601,5,0.83,4150,29
TXT155,500000,676,4,0.59,2950,30
TXL023,500000,196,1,0.51,2550,31
TXT152,500000,319,5,1.57,7850,32
TXL026,500000,1173,17,1.45,7250,33
BL049,500000,694,3,0.43,2150,34
BL048,500000,176,0,0,0,35
BL051,500000,127,1,0.79,3950,36
BL052,500000,636,8,1.26,6300,37
BL053,500000,432,4,0.93,4650,38
BL054,500000,413,1,0.24,1200,39
BL056,500000,335,4,1.19,5950,40
BL058,500000,151,1,0.66,3300,41
TXL021,500000,303,4,1.32,6600,42
TXN165,500000,362,1,0.28,1400,43
TXN205,500000,697,9,1.29,6450,44
TXT126,500000,190,1,0.53,2650,45
TXT132,500000,233,0,0,0,46
TXT136,500000,219,4,1.83,9150,48
TXT137,500000,755,4,0.53,2650,49
TXT138,500000,950,4,0.42,2100,50
TXT139,500000,552,1,0.18,900,51
TXT141,500000,322,3,0.93,4650,52
TXT149,500000,180,0,0,0,53
TXT150,500000,1324,5,0.38,1900,54
TXT151,500000,340,3,0.88,4400,55
BL060,500000,1197,17,1.42,7100,56
BL018,500000,35,1,2.86,14300,57
